"origin" "uniprot" "protein" "description"
"381" "sp" "P0CJ74" "HMN7" " Humanin-like 7 OS=Homo sapiens OX=9606 GN=MTRNR2L7 PE=2 SV=1"
"382" "sp" "P35321" "SPR1A" " Cornifin-A OS=Homo sapiens OX=9606 GN=SPRR1A PE=1 SV=2"
"383" "sp" "P59780" "AP3S2" " AP-3 complex subunit sigma-2 OS=Homo sapiens OX=9606 GN=AP3S2 PE=2 SV=1"
"384" "sp" "P62487" "RPB7" " DNA-directed RNA polymerase II subunit RPB7 OS=Homo sapiens OX=9606 GN=POLR2G PE=1 SV=1"
"385" "sp" "Q8NDX6" "ZN740" " Zinc finger protein 740 OS=Homo sapiens OX=9606 GN=ZNF740 PE=1 SV=1"
"386" "sp" "Q92750" "TAF4B" " Transcription initiation factor TFIID subunit 4B OS=Homo sapiens OX=9606 GN=TAF4B PE=1 SV=2"
"387" "sp" "A0A1B0GV90" "CTXD2" " Cortexin domain containing 2 OS=Homo sapiens OX=9606 GN=CTXND2 PE=3 SV=1"
"388" "sp" "O43493" "TGON2" " Trans-Golgi network integral membrane protein 2 OS=Homo sapiens OX=9606 GN=TGOLN2 PE=1 SV=4"
"389" "sp" "P0CW23" "AKAI1" " A-kinase anchor protein inhibitor 1 OS=Homo sapiens OX=9606 GN=AKAIN1 PE=1 SV=1"
"390" "sp" "P0DMR2" "SG1C2" " Secretoglobin family 1C member 2 OS=Homo sapiens OX=9606 GN=SCGB1C2 PE=1 SV=1"
"391" "sp" "P0DP25" "CALM3" " Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1"
"392" "sp" "P20671" "H2A1D" " Histone H2A type 1-D OS=Homo sapiens OX=9606 GN=H2AC7 PE=1 SV=2"
"393" "sp" "P21815" "SIAL" " Bone sialoprotein 2 OS=Homo sapiens OX=9606 GN=IBSP PE=1 SV=4"
"394" "sp" "P36508" "ZNF76" " Zinc finger protein 76 OS=Homo sapiens OX=9606 GN=ZNF76 PE=1 SV=2"
"395" "sp" "P63215" "GBG3" " Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3 OS=Homo sapiens OX=9606 GN=GNG3 PE=1 SV=1"
"396" "sp" "Q8N300" "SVBP" " Small vasohibin-binding protein OS=Homo sapiens OX=9606 GN=SVBP PE=1 SV=1"
"397" "sp" "Q96EL3" "RM53" " 39S ribosomal protein L53, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL53 PE=1 SV=1"
"398" "sp" "Q9BQD3" "KXDL1" " KxDL motif-containing protein 1 OS=Homo sapiens OX=9606 GN=KXD1 PE=1 SV=2"
"399" "sp" "Q9H1F0" "WF10A" " WAP four-disulfide core domain protein 10A OS=Homo sapiens OX=9606 GN=WFDC10A PE=3 SV=2"
"400" "sp" "Q9Y5K8" "VATD" " V-type proton ATPase subunit D OS=Homo sapiens OX=9606 GN=ATP6V1D PE=1 SV=1"
"401" "tr" "A0A075B6Z8" "A0A075B6Z8" " T cell receptor alpha joining 25 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ25 PE=4 SV=1"
"402" "sp" "A0A1B0GTQ4" "MYMX" " Protein myomixer OS=Homo sapiens OX=9606 GN=MYMX PE=1 SV=1"
"403" "sp" "P0CG47" "UBB" " Polyubiquitin-B OS=Homo sapiens OX=9606 GN=UBB PE=1 SV=1"
"404" "sp" "Q13541" "4EBP1" " Eukaryotic translation initiation factor 4E-binding protein 1 OS=Homo sapiens OX=9606 GN=EIF4EBP1 PE=1 SV=3"
"405" "sp" "Q5JQS6" "GSAML" " Germinal center-associated signaling and motility-like protein OS=Homo sapiens OX=9606 GN=GCSAML PE=1 SV=1"
"406" "sp" "Q6NVV7" "CDPF1" " Cysteine-rich DPF motif domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CDPF1 PE=1 SV=1"
"407" "tr" "A0A075B704" "A0A075B704" " T cell receptor alpha joining 57 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ57 PE=4 SV=1"
"408" "tr" "A0A075B709" "A0A075B709" " T cell receptor alpha joining 13 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ13 PE=4 SV=2"
"409" "tr" "A0A075B712" "A0A075B712" " T cell receptor alpha joining 54 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ54 PE=4 SV=1"
"410" "sp" "P55273" "CDN2D" " Cyclin-dependent kinase 4 inhibitor D OS=Homo sapiens OX=9606 GN=CDKN2D PE=1 SV=1"
"411" "sp" "Q8N4Q0" "PTGR3" " Prostaglandin reductase 3 OS=Homo sapiens OX=9606 GN=PTGR3 PE=1 SV=1"
"412" "sp" "Q9BTT0" "AN32E" " Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1"
"413" "sp" "Q9BYE4" "SPR2G" " Small proline-rich protein 2G OS=Homo sapiens OX=9606 GN=SPRR2G PE=3 SV=1"
"414" "sp" "Q6NZI2" "CAVN1" " Caveolae-associated protein 1 OS=Homo sapiens OX=9606 GN=CAVIN1 PE=1 SV=1"
"415" "sp" "Q7Z5G4" "GOGA7" " Golgin subfamily A member 7 OS=Homo sapiens OX=9606 GN=GOLGA7 PE=1 SV=2"
"416" "sp" "Q8N511" "TM199" " Transmembrane protein 199 OS=Homo sapiens OX=9606 GN=TMEM199 PE=1 SV=1"
"417" "sp" "Q8NDY6" "BHE23" " Class E basic helix-loop-helix protein 23 OS=Homo sapiens OX=9606 GN=BHLHE23 PE=1 SV=1"
"418" "sp" "Q9GZX6" "IL22" " Interleukin-22 OS=Homo sapiens OX=9606 GN=IL22 PE=1 SV=1"
"419" "sp" "A4D0T7" "SIM30" " Small integral membrane protein 30 OS=Homo sapiens OX=9606 GN=SMIM30 PE=3 SV=2"
"420" "sp" "Q5T5B0" "LCE3E" " Late cornified envelope protein 3E OS=Homo sapiens OX=9606 GN=LCE3E PE=1 SV=1"
"421" "sp" "Q5U5X0" "LYRM7" " Complex III assembly factor LYRM7 OS=Homo sapiens OX=9606 GN=LYRM7 PE=1 SV=1"
"422" "sp" "Q86TP1" "PRUN1" " Exopolyphosphatase PRUNE1 OS=Homo sapiens OX=9606 GN=PRUNE1 PE=1 SV=2"
"423" "sp" "Q99714" "HCD2" " 3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3"
"424" "sp" "Q9H5V9" "STEEP" " STING ER exit protein OS=Homo sapiens OX=9606 GN=STEEP1 PE=1 SV=1"
"425" "sp" "Q9NP77" "SSU72" " RNA polymerase II subunit A C-terminal domain phosphatase SSU72 OS=Homo sapiens OX=9606 GN=SSU72 PE=1 SV=1"
"426" "tr" "A0A075B6W2" "A0A075B6W2" " T cell receptor alpha joining 52 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ52 PE=4 SV=1"
"427" "sp" "O95758" "PTBP3" " Polypyrimidine tract-binding protein 3 OS=Homo sapiens OX=9606 GN=PTBP3 PE=1 SV=2"
"428" "sp" "P35754" "GLRX1" " Glutaredoxin-1 OS=Homo sapiens OX=9606 GN=GLRX PE=1 SV=2"
"429" "sp" "P38159" "RBMX" " RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3"
"430" "sp" "Q8N8Y5" "ZFP41" " Zinc finger protein 41 homolog OS=Homo sapiens OX=9606 GN=ZFP41 PE=1 SV=1"
"431" "sp" "Q8N998" "CCD89" " Coiled-coil domain-containing protein 89 OS=Homo sapiens OX=9606 GN=CCDC89 PE=1 SV=1"
"432" "sp" "Q9NVK5" "FGOP2" " FGFR1 oncogene partner 2 OS=Homo sapiens OX=9606 GN=FGFR1OP2 PE=1 SV=1"
"433" "tr" "A0A075B6X3" "A0A075B6X3" " T cell receptor alpha joining 32 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ32 PE=4 SV=1"
"434" "sp" "P41134" "ID1" " DNA-binding protein inhibitor ID-1 OS=Homo sapiens OX=9606 GN=ID1 PE=1 SV=3"
"435" "sp" "Q5EE01" "CENPW" " Centromere protein W OS=Homo sapiens OX=9606 GN=CENPW PE=1 SV=1"
"436" "sp" "Q5U649" "CL060" " Uncharacterized protein C12orf60 OS=Homo sapiens OX=9606 GN=C12orf60 PE=1 SV=2"
"437" "sp" "Q96KT6" "CH014" " Putative uncharacterized protein encoded by LINC00208 OS=Homo sapiens OX=9606 GN=LINC00208 PE=5 SV=1"
"438" "sp" "P10636" "TAU" " Microtubule-associated protein tau OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=5"
"439" "sp" "P62072" "TIM10" " Mitochondrial import inner membrane translocase subunit Tim10 OS=Homo sapiens OX=9606 GN=TIMM10 PE=1 SV=1"
"440" "sp" "Q156A1" "ATX8" " Ataxin-8 OS=Homo sapiens OX=9606 GN=ATXN8 PE=1 SV=1"
"441" "sp" "Q8IVA1" "PCP2" " Purkinje cell protein 2 homolog OS=Homo sapiens OX=9606 GN=PCP2 PE=1 SV=2"
"442" "tr" "A0A075B7B9" "A0A075B7B9" " Protein IGHD2OR15-2A (Fragment) OS=Homo sapiens OX=9606 GN=IGHD2OR15-2B PE=4 SV=1"
"443" "sp" "P31944" "CASPE" " Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2"
"444" "sp" "P40305" "IFI27" " Interferon alpha-inducible protein 27, mitochondrial OS=Homo sapiens OX=9606 GN=IFI27 PE=1 SV=4"
"445" "sp" "Q12798" "CETN1" " Centrin-1 OS=Homo sapiens OX=9606 GN=CETN1 PE=1 SV=1"
"446" "sp" "Q8NH94" "OR1L1" " Olfactory receptor 1L1 OS=Homo sapiens OX=9606 GN=OR1L1 PE=3 SV=3"
"447" "sp" "Q9UNX3" "RL26L" " 60S ribosomal protein L26-like 1 OS=Homo sapiens OX=9606 GN=RPL26L1 PE=1 SV=1"
"448" "sp" "Q9Y5J7" "TIM9" " Mitochondrial import inner membrane translocase subunit Tim9 OS=Homo sapiens OX=9606 GN=TIMM9 PE=1 SV=1"
"449" "sp" "O43768" "ENSA" " Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1"
"450" "sp" "O60925" "PFD1" " Prefoldin subunit 1 OS=Homo sapiens OX=9606 GN=PFDN1 PE=1 SV=2"
"451" "sp" "Q569H4" "LARGN" " Protein Largen OS=Homo sapiens OX=9606 GN=PRR16 PE=1 SV=1"
"452" "sp" "Q9NRI7" "PPY2" " Putative pancreatic polypeptide 2 OS=Homo sapiens OX=9606 GN=PPY2P PE=5 SV=1"
"453" "sp" "A0A1W2PQ64" "S72L5" " RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 5 OS=Homo sapiens OX=9606 GN=SSU72L5 PE=3 SV=1"
"454" "tr" "A0A669KAW2" "A0A669KAW2" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"455" "sp" "O95684" "CEP43" " Centrosomal protein 43 OS=Homo sapiens OX=9606 GN=CEP43 PE=1 SV=1"
"456" "sp" "P42696" "RBM34" " RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2"
"457" "sp" "P62888" "RL30" " 60S ribosomal protein L30 OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=2"
"458" "sp" "Q12846" "STX4" " Syntaxin-4 OS=Homo sapiens OX=9606 GN=STX4 PE=1 SV=2"
"459" "sp" "Q8N0T1" "RBIS" " Ribosomal biogenesis factor OS=Homo sapiens OX=9606 GN=RBIS PE=1 SV=4"
"460" "sp" "Q96B45" "BORC7" " BLOC-1-related complex subunit 7 OS=Homo sapiens OX=9606 GN=BORCS7 PE=3 SV=2"
"461" "sp" "Q99750" "MDFI" " MyoD family inhibitor OS=Homo sapiens OX=9606 GN=MDFI PE=1 SV=1"
"462" "tr" "A0A075B6U8" "A0A075B6U8" " T cell receptor alpha joining 12 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ12 PE=4 SV=1"
"463" "tr" "A0A075B6X0" "A0A075B6X0" " T cell receptor alpha joining 45 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ45 PE=4 SV=1"
"464" "sp" "B2RXH8" "HNRC2" " Heterogeneous nuclear ribonucleoprotein C-like 2 OS=Homo sapiens OX=9606 GN=HNRNPCL2 PE=1 SV=1"
"465" "sp" "P0DPB6" "RPAC2" " DNA-directed RNA polymerases I and III subunit RPAC2 OS=Homo sapiens OX=9606 GN=POLR1D PE=1 SV=1"
"466" "sp" "P61604" "CH10" " 10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2"
"467" "sp" "P62807" "H2B1C" " Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=H2BC10 PE=1 SV=4"
"468" "sp" "Q96A57" "TM230" " Transmembrane protein 230 OS=Homo sapiens OX=9606 GN=TMEM230 PE=1 SV=1"
"469" "sp" "A0PJZ0" "A20A5" " Putative ankyrin repeat domain-containing protein 20A5 OS=Homo sapiens OX=9606 GN=ANKRD20A5P PE=5 SV=1"
"470" "sp" "A1L3X4" "MT1DP" " Putative metallothionein MT1DP OS=Homo sapiens OX=9606 GN=MT1DP PE=5 SV=1"
"471" "sp" "A6NJ69" "IGIP" " IgA-inducing protein homolog OS=Homo sapiens OX=9606 GN=IGIP PE=3 SV=1"
"472" "sp" "O95999" "BCL10" " B-cell lymphoma/leukemia 10 OS=Homo sapiens OX=9606 GN=BCL10 PE=1 SV=1"
"473" "sp" "Q68D20" "PMS2L" " Protein PMS2CL OS=Homo sapiens OX=9606 GN=PMS2CL PE=2 SV=1"
"474" "sp" "O60812" "HNRC1" " Heterogeneous nuclear ribonucleoprotein C-like 1 OS=Homo sapiens OX=9606 GN=HNRNPCL1 PE=1 SV=1"
"475" "sp" "P0C7Q2" "ARMS2" " Age-related maculopathy susceptibility protein 2 OS=Homo sapiens OX=9606 GN=ARMS2 PE=1 SV=1"
"476" "sp" "Q13422" "IKZF1" " DNA-binding protein Ikaros OS=Homo sapiens OX=9606 GN=IKZF1 PE=1 SV=1"
"477" "sp" "Q14919" "NC2A" " Dr1-associated corepressor OS=Homo sapiens OX=9606 GN=DRAP1 PE=1 SV=3"
"478" "sp" "Q19AV6" "ZSWM7" " Zinc finger SWIM domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ZSWIM7 PE=1 SV=1"
"479" "sp" "Q9BUE6" "ISCA1" " Iron-sulfur cluster assembly 1 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=ISCA1 PE=1 SV=1"
"480" "sp" "A0A1B0GWG4" "SRTM2" " Serine-rich and transmembrane domain-containing 2 OS=Homo sapiens OX=9606 GN=SERTM2 PE=3 SV=2"
"481" "sp" "P59768" "GBG2" " Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Homo sapiens OX=9606 GN=GNG2 PE=1 SV=2"
"482" "sp" "Q8NH85" "OR5R1" " Olfactory receptor 8U3 OS=Homo sapiens OX=9606 GN=OR8U3 PE=3 SV=1"
"483" "sp" "Q96BD8" "SKA1" " Spindle and kinetochore-associated protein 1 OS=Homo sapiens OX=9606 GN=SKA1 PE=1 SV=1"
"484" "sp" "Q99075" "HBEGF" " Proheparin-binding EGF-like growth factor OS=Homo sapiens OX=9606 GN=HBEGF PE=1 SV=1"
"485" "sp" "Q9BUN5" "CC28B" " Coiled-coil domain-containing protein 28B OS=Homo sapiens OX=9606 GN=CCDC28B PE=1 SV=2"
"486" "tr" "Q9BZC5" "Q9BZC5" " FKSG35 OS=Homo sapiens OX=9606 GN=FKSG35 PE=2 SV=1"
"487" "sp" "Q9UGL9" "CRCT1" " Cysteine-rich C-terminal protein 1 OS=Homo sapiens OX=9606 GN=CRCT1 PE=1 SV=1"
"488" "tr" "A0A075B6V3" "A0A075B6V3" " T cell receptor alpha joining 48 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ48 PE=4 SV=1"
"489" "sp" "O75817" "POP7" " Ribonuclease P protein subunit p20 OS=Homo sapiens OX=9606 GN=POP7 PE=1 SV=2"
"490" "sp" "Q6F5E7" "TR3N" " Putative uncharacterized protein TXNRD3NB OS=Homo sapiens OX=9606 GN=TXNRD3NB PE=5 SV=1"
"491" "sp" "Q9NS64" "RPRM" " Protein reprimo OS=Homo sapiens OX=9606 GN=RPRM PE=1 SV=1"
"492" "sp" "P26678" "PPLA" " Cardiac phospholamban OS=Homo sapiens OX=9606 GN=PLN PE=1 SV=1"
"493" "sp" "Q5TBE3" "CI153" " Uncharacterized protein C9orf153 OS=Homo sapiens OX=9606 GN=C9orf153 PE=1 SV=1"
"494" "sp" "Q9HBM6" "TAF9B" " Transcription initiation factor TFIID subunit 9B OS=Homo sapiens OX=9606 GN=TAF9B PE=1 SV=1"
"495" "tr" "A0A0G2JLJ8" "A0A0G2JLJ8" " Immunoglobulin heavy diversity 5/OR15-5A (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHD5OR15-5B PE=4 SV=4"
"496" "sp" "F2Z3M2" "CQ112" " Uncharacterized protein encoded by LINC02876 OS=Homo sapiens OX=9606 GN=LINC02876 PE=5 SV=1"
"497" "sp" "O14737" "PDCD5" " Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3"
"498" "sp" "P04731" "MT1A" " Metallothionein-1A OS=Homo sapiens OX=9606 GN=MT1A PE=1 SV=2"
"499" "sp" "P0CG23" "ZN853" " Zinc finger protein 853 OS=Homo sapiens OX=9606 GN=ZNF853 PE=2 SV=1"
"500" "sp" "P0CG35" "TB15B" " Thymosin beta-15B OS=Homo sapiens OX=9606 GN=TMSB15B PE=1 SV=1"
"501" "sp" "Q5BKX8" "CAVN4" " Caveolae-associated protein 4 OS=Homo sapiens OX=9606 GN=CAVIN4 PE=1 SV=2"
"502" "sp" "Q96QR1" "SG3A1" " Secretoglobin family 3A member 1 OS=Homo sapiens OX=9606 GN=SCGB3A1 PE=1 SV=2"
"503" "sp" "Q96R08" "OR5BC" " Olfactory receptor 5B12 OS=Homo sapiens OX=9606 GN=OR5B12 PE=2 SV=2"
"504" "sp" "Q9H246" "CA021" " Uncharacterized protein C1orf21 OS=Homo sapiens OX=9606 GN=C1orf21 PE=1 SV=1"
"505" "sp" "Q9UJG1" "MSPD1" " Motile sperm domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MOSPD1 PE=1 SV=1"
"506" "sp" "Q9Y3Y2" "CHTOP" " Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=2"
"507" "sp" "O60814" "H2B1K" " Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3"
"508" "sp" "P0C2L3" "F163B" " Protein FAM163B OS=Homo sapiens OX=9606 GN=FAM163B PE=1 SV=1"
"509" "sp" "Q12962" "TAF10" " Transcription initiation factor TFIID subunit 10 OS=Homo sapiens OX=9606 GN=TAF10 PE=1 SV=1"
"510" "sp" "Q6UX46" "ALKL2" " ALK and LTK ligand 2 OS=Homo sapiens OX=9606 GN=ALKAL2 PE=1 SV=2"
"511" "sp" "Q6ZQT0" "YD023" " Putative uncharacterized protein FLJ45035 OS=Homo sapiens OX=9606 PE=5 SV=1"
"512" "sp" "Q969X0" "RIPL2" " RILP-like protein 2 OS=Homo sapiens OX=9606 GN=RILPL2 PE=1 SV=1"
"513" "sp" "Q96MF0" "YO028" " Putative uncharacterized protein LOC100506887 OS=Homo sapiens OX=9606 PE=5 SV=2"
"514" "sp" "Q9NQ38" "ISK5" " Serine protease inhibitor Kazal-type 5 OS=Homo sapiens OX=9606 GN=SPINK5 PE=1 SV=2"
"515" "sp" "Q9NWA0" "MED9" " Mediator of RNA polymerase II transcription subunit 9 OS=Homo sapiens OX=9606 GN=MED9 PE=1 SV=1"
"516" "sp" "Q9UKS7" "IKZF2" " Zinc finger protein Helios OS=Homo sapiens OX=9606 GN=IKZF2 PE=1 SV=2"
"517" "sp" "Q9UQV4" "LAMP3" " Lysosome-associated membrane glycoprotein 3 OS=Homo sapiens OX=9606 GN=LAMP3 PE=1 SV=3"
"518" "sp" "O95969" "SG1D2" " Secretoglobin family 1D member 2 OS=Homo sapiens OX=9606 GN=SCGB1D2 PE=2 SV=1"
"519" "sp" "P02724" "GLPA" " Glycophorin-A OS=Homo sapiens OX=9606 GN=GYPA PE=1 SV=2"
"520" "sp" "P58549" "FXYD7" " FXYD domain-containing ion transport regulator 7 OS=Homo sapiens OX=9606 GN=FXYD7 PE=1 SV=1"
"521" "sp" "Q07869" "PPARA" " Peroxisome proliferator-activated receptor alpha OS=Homo sapiens OX=9606 GN=PPARA PE=1 SV=2"
"522" "sp" "Q6DJT9" "PLAG1" " Zinc finger protein PLAG1 OS=Homo sapiens OX=9606 GN=PLAG1 PE=1 SV=1"
"523" "sp" "Q9GZZ1" "NAA50" " N-alpha-acetyltransferase 50 OS=Homo sapiens OX=9606 GN=NAA50 PE=1 SV=1"
"524" "sp" "A6NGG3" "CI092" " Putative uncharacterized protein encoded by LINC03041 OS=Homo sapiens OX=9606 GN=LINC03041 PE=4 SV=1"
"525" "sp" "A6PVL3" "KNCN" " Kinocilin OS=Homo sapiens OX=9606 GN=KNCN PE=2 SV=1"
"526" "sp" "P02776" "PLF4" " Platelet factor 4 OS=Homo sapiens OX=9606 GN=PF4 PE=1 SV=2"
"527" "sp" "P0CJ77" "HMN10" " Humanin-like 10 OS=Homo sapiens OX=9606 GN=MTRNR2L10 PE=2 SV=1"
"528" "sp" "P16949" "STMN1" " Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3"
"529" "sp" "P25063" "CD24" " Signal transducer CD24 OS=Homo sapiens OX=9606 GN=CD24 PE=1 SV=3"
"530" "sp" "Q9NQG1" "MANBL" " Protein MANBAL OS=Homo sapiens OX=9606 GN=MANBAL PE=1 SV=1"
"531" "sp" "O60671" "RAD1" " Cell cycle checkpoint protein RAD1 OS=Homo sapiens OX=9606 GN=RAD1 PE=1 SV=1"
"532" "sp" "P59282" "TPPP2" " Tubulin polymerization-promoting protein family member 2 OS=Homo sapiens OX=9606 GN=TPPP2 PE=1 SV=2"
"533" "sp" "Q6P6B1" "ERIC5" " Glutamate-rich protein 5 OS=Homo sapiens OX=9606 GN=ERICH5 PE=1 SV=1"
"534" "sp" "Q7Z7G2" "CPLX4" " Complexin-4 OS=Homo sapiens OX=9606 GN=CPLX4 PE=1 SV=1"
"535" "sp" "Q8NEA5" "CS018" " Uncharacterized protein C19orf18 OS=Homo sapiens OX=9606 GN=C19orf18 PE=1 SV=1"
"536" "sp" "Q9NRI6" "PYY2" " Putative peptide YY-2 OS=Homo sapiens OX=9606 GN=PYY2 PE=5 SV=1"
"537" "sp" "P02652" "APOA2" " Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1"
"538" "sp" "P35070" "BTC" " Probetacellulin OS=Homo sapiens OX=9606 GN=BTC PE=1 SV=1"
"539" "sp" "P63098" "CANB1" " Calcineurin subunit B type 1 OS=Homo sapiens OX=9606 GN=PPP3R1 PE=1 SV=2"
"540" "sp" "Q5SZQ8" "CELF3" " CUGBP Elav-like family member 3 OS=Homo sapiens OX=9606 GN=CELF3 PE=1 SV=1"
"541" "sp" "Q5TEZ4" "CF164" " Putative uncharacterized protein encoded by LINC01590 OS=Homo sapiens OX=9606 GN=LINC01590 PE=5 SV=2"
"542" "sp" "Q8NGP8" "OR5M1" " Olfactory receptor 5M1 OS=Homo sapiens OX=9606 GN=OR5M1 PE=3 SV=1"
"543" "sp" "Q96MF7" "NSE2" " E3 SUMO-protein ligase NSE2 OS=Homo sapiens OX=9606 GN=NSMCE2 PE=1 SV=2"
"544" "sp" "Q9Y296" "TPPC4" " Trafficking protein particle complex subunit 4 OS=Homo sapiens OX=9606 GN=TRAPPC4 PE=1 SV=1"
"545" "sp" "O43765" "SGTA" " Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens OX=9606 GN=SGTA PE=1 SV=1"
"546" "sp" "Q9H1A7" "RPB1C" " DNA-directed RNA polymerase II subunit RPB11-b2 OS=Homo sapiens OX=9606 GN=POLR2J3 PE=1 SV=1"
"547" "sp" "A0A1B0GU33" "TEX53" " Testis-expressed protein 53 OS=Homo sapiens OX=9606 GN=TEX53 PE=4 SV=1"
"548" "sp" "A0A1W2PR75" "S72L6" " RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 6 OS=Homo sapiens OX=9606 GN=SSU72L6 PE=3 SV=1"
"549" "sp" "A6NFK2" "GRCR2" " Glutaredoxin domain-containing cysteine-rich protein 2 OS=Homo sapiens OX=9606 GN=GRXCR2 PE=3 SV=1"
"550" "sp" "P42766" "RL35" " 60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2"
"551" "sp" "Q13794" "APR" " Phorbol-12-myristate-13-acetate-induced protein 1 OS=Homo sapiens OX=9606 GN=PMAIP1 PE=1 SV=1"
"552" "sp" "Q5T215" "TPC3L" " Trafficking protein particle complex subunit 3-like protein OS=Homo sapiens OX=9606 GN=TRAPPC3L PE=1 SV=1"
"553" "sp" "Q7Z6I8" "CE024" " UPF0461 protein C5orf24 OS=Homo sapiens OX=9606 GN=C5orf24 PE=1 SV=1"
"554" "sp" "Q8NCA9" "ZN784" " Zinc finger protein 784 OS=Homo sapiens OX=9606 GN=ZNF784 PE=1 SV=1"
"555" "sp" "Q8NDD1" "CA131" " Uncharacterized protein C1orf131 OS=Homo sapiens OX=9606 GN=C1orf131 PE=1 SV=4"
"556" "sp" "Q8NG95" "OR7G3" " Olfactory receptor 7G3 OS=Homo sapiens OX=9606 GN=OR7G3 PE=3 SV=1"
"557" "sp" "Q8WZA0" "LZIC" " Protein LZIC OS=Homo sapiens OX=9606 GN=LZIC PE=1 SV=1"
"558" "sp" "Q9GZV4" "IF5A2" " Eukaryotic translation initiation factor 5A-2 OS=Homo sapiens OX=9606 GN=EIF5A2 PE=1 SV=3"
"559" "tr" "A0A1B0GWH6" "A0A1B0GWH6" " Long intergenic non-protein coding RNA 672 OS=Homo sapiens OX=9606 GN=LINC00672 PE=4 SV=1"
"560" "tr" "B7ZLF3" "B7ZLF3" " C2H2-type domain-containing protein OS=Homo sapiens OX=9606 GN=LOC402624 PE=1 SV=1"
"561" "sp" "O95810" "CAVN2" " Caveolae-associated protein 2 OS=Homo sapiens OX=9606 GN=CAVIN2 PE=1 SV=3"
"562" "sp" "Q9BRU9" "UTP23" " rRNA-processing protein UTP23 homolog OS=Homo sapiens OX=9606 GN=UTP23 PE=1 SV=2"
"563" "sp" "Q9NTM9" "CUTC" " Copper homeostasis protein cutC homolog OS=Homo sapiens OX=9606 GN=CUTC PE=1 SV=1"
"564" "sp" "A0A0A0MT87" "TJB24" " T cell receptor beta joining 2-4 OS=Homo sapiens OX=9606 GN=TRBJ2-4 PE=4 SV=2"
"565" "sp" "P02778" "CXL10" " C-X-C motif chemokine 10 OS=Homo sapiens OX=9606 GN=CXCL10 PE=1 SV=2"
"566" "sp" "Q9BY77" "PDIP3" " Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2"
"567" "sp" "Q9H1K6" "TLRN1" " Talin rod domain-containing protein 1 OS=Homo sapiens OX=9606 GN=TLNRD1 PE=1 SV=1"
"568" "sp" "O14599" "VCY2" " Testis-specific basic protein Y 2 OS=Homo sapiens OX=9606 GN=BPY2C PE=1 SV=2"
"569" "sp" "P0DMV2" "CT459" " Cancer/testis antigen family 45 member A9 OS=Homo sapiens OX=9606 GN=CT45A9 PE=3 SV=1"
